Variable_ID,Description
pk12,BEDEUTUNG: WAHLGEHEIMNIS
pk13,WER VERFUEGT UEBER RICHTLINIENKOMPETENZ?
pk14,WELCHE ORGANISATION F. KULTUR+WISSENSCH.
pk15,LAND OHNE STAENDIG.SITZ IM SICHERHEITSR.
pk16,WANN DUERFEN EU-BUERGER IN D. WAEHLEN?
pk17,VERWENDUNGSZWECK: SOLIDARITAETSZUSCHLAG
pe01,POLITIKER KUEMMERN S.NICHT UM M.GEDANKEN
pe02,KANN IN EINER POLIT. GRUPPE AKTIV WERDEN
pe03,HABE KEINEN EINFLUSS AUF REGIERUNG
pe04,POLITIK IST ZU KOMPLEX FUER MICH
pe05,POLITIKER VERTRETEN INTERESSEN D. BEV.
pe06,WEISS WENIG UEBER POLITIK
pe07,MEISTEN FAEHIG ZU ARBEIT IN POL. GRUPPE
pe08,DURCHSCHNITT: WENIG POLIT. VERSTAENDNIS
pe09,WAHLBETEILIGUNG IST BUERGERPFLICHT
pe10,DEMONSTRATION BEI UNZUFRIEDENHEIT
pe11,GEWALT MORALISCH GERECHTFERTIGT
pe12,VOLKSABSTIMMUNG BESTANDTEIL V.DEMOKRATIE
pa29,ABGEORDNETE NUR DEM VOLK VERPFLICHTET
pa30,"POLITIKER REDEN ZU VIEL,HANDELN ZU WENIG"
pa31,EINFACHE BUERGER BESSERE VOLKSVERTRETER
pa32,POLIT.KOMPROMISS IST VERRAT V.PRINZIPIEN
pa33,VOLK SOLLTE POLIT.ENTSCHEIDUNGEN TREFFEN
pa34,VOLK EINIG WAS POLITISCH PASSIEREN MUSS
pa35,POLITIKER VERTRETEN NUR DIE REICHEN
pc01,KONFLIKT: LINKS-RECHTS
pc02,KONFLIKT: ARBEITGEBER VS. ARBEITNEHMER
pc03,KONFLIKT: HAUPTSCHULABSOLVENT-AKADEMIKER
pc04,KONFLIKT: LEUTE M.KINDERN VS.KINDERLOSE
pc05,KONFLIKT: JUNG VS. ALT
pc06,KONFLIKT: ARM VS. REICH
pc07,KONFLIKT: BERUFST.VS. RENTNER
pc08,KONFLIKT: POLITIKER VS. EINFACHE BUERGER
pc09,KONFLIKT: KAPITAL VS. ARBEITERKLASSE
pc10,KONFLIKT:AUSLAENDER(GASTARB.)VS.DEUTSCHE
pc11,KONFLIKT: FRAUEN VS. MAENNER
pc17,KONFLIKT: WESTDEUTSCHE VS. OSTDEUTSCHE
pc18,KONFLIKT:BUNDESB.VS.DEUTSCHST.AUSSIEDLER
pc19,KONFLIKT: ERWERBSTAETIGE VS. ARBEITSLOSE
pc20,KONFLIKT: CHRISTEN VS. MUSLIME
pt01,VERTRAUEN: GESUNDHEITSWESEN
pt02,VERTRAUEN: BUNDESVERFASSUNGSGERICHT
pt03,VERTRAUEN: BUNDESTAG
pt04,"VERTRAUEN: STADT-,GEMEINDEVERWALTUNG"
pt05,VERTRAUEN: BUNDESWEHR
pt06,VERTRAUEN: KATHOLISCHE KIRCHE
pt07,VERTRAUEN: EVANGELISCHE KIRCHE
pt08,VERTRAUEN: JUSTIZ
pt09,VERTRAUEN: FERNSEHEN
pt10,VERTRAUEN: ZEITUNGSWESEN
pt11,"VERTRAUEN: HOCHSCHULEN,UNIVERSITAETEN"
pt12,VERTRAUEN: BUNDESREGIERUNG
pt13,VERTRAUEN: GEWERKSCHAFTEN
pt14,VERTRAUEN: POLIZEI
pt15,VERTRAUEN: POLITISCHE PARTEIEN
pt16,VERTRAUEN: ARBEITSAEMTER
pt17,VERTRAUEN: RENTENVERSICHERUNG
pt18,VERTRAUEN: ARBEITGEBERVERBAENDE
pt19,VERTRAUEN: KOMMISSION DER EU
pt20,VERTRAUEN: EUROPAEISCHES PARLAMENT
pt21,VERTRAUEN: EUROPAEISCHER GERICHTSHOF
pn12,VERBUNDENHEIT ZUR GEMEINDE
pn13,VERBUNDENHEIT ZUM BUNDESLAND U. BUERGERN
pn14,VERBUNDENHEIT MIT ALTER BRD
pn15,VERBUNDENHEIT MIT EHEMALIGER DDR
pn16,VERBUNDENHEIT ZU DEUTSCHLAND ALS GANZEM
pn17,VERBUNDENHEIT ZUR EU UND IHREN BUERGERN
pr01,IM WESTEN MEHR OPFERBEREITSCHAFT ZEIGEN
pr02,IM OSTEN MEHR GEDULD ZEIGEN
pr04,WIEDERVEREIN. MEHR VORTEILE FUER WESTEN
pr05,WIEDERVEREIN. MEHR VORTEILE FUER OSTEN
pr06,ZUKUNFT IM OSTEN HAENGT VON LEISTUNG AB
pr07,BUERGER IM ANDEREN TEIL DER BRD FREMD?
pr08,NEUE LAENDER: LEISTUNGSDRUCK ZU GROSS?
pr09,NICHT NACH STASI-VERGANGENHEIT FRAGEN
pr10,"SOZIALISMUS: GUTE IDEE, SCHLECHT AUSGEF."
pg01,BEHOERDEN SIND ZU LANGSAM BEI ANTRAEGEN
pg02,AEMTER ARBEITEN INSGES.ZUFRIEDENSTELLEND
pg03,BUERGER KANN SICH GEG.AMTSENTSCH.WEHREN
pg04,DER MENSCH IST NUR NUMMER BEI BEHOERDEN
pg05,BEAMTE SIND HILFSBEREIT UND FREUNDLICH
pg06,AUCH IM RECHT BESSER NICHT GEG.BEHOERDE?
pg07,BEHANDELN SIE BEHOERDEN GLEICH+GERECHT?
pg08,BEACHTET BEHOERDE GGF. IHRE ANSICHT?
pg09,BEHANDELT SIE D. POLIZEI GLEICH+GERECHT?
pg10,BEACHTET DIE POLIZEI GGF. IHRE ANSICHT?
pn01,BIN STOLZ AUF: GRUNDGESETZ
pn02,BIN STOLZ AUF: BUNDESTAG
pn03,BIN STOLZ AUF: DEUTSCHE SPORTLER
pn04,BIN STOLZ AUF: DT. WIRTSCHAFTL. ERFOLG
