Variable_ID,Description
ca09,VERHALTENSBEURTEIL.:DIEBSTAHL IN WOHNUNG
ca10,VERHALTENSBEURTEIL: ALKOHOL AM STEUER
ca11,VERHALTENSBEURT.: AUSLAENDERFEINDL. WIRT
ca12,VERHALTENSBEURTEILUNG: HASCHISCHKONSUM
ca13,VERHALTENSBEURTEILUNG: HOMOSEXUALITAET
ca14,VERHALTENSBEURTEILUNG: EHEBRUCH
ca15,VERBOT FUER: GEWALT GEGEN KINDER
ca16,VERBOT FUER: SCHWANGERSCHAFTSABBRUCH
ca17,VERBOT FUER: AERZTLICHE STERBEHILFE
ca18,VERBOT FUER: VERGEWALTIGUNG IN DER EHE
ca19,VERBOT FUER: HASCHISCHKONSUM
ca20,VERBOT FUER: HOMOSEXUALITAET
ca34,VERBOT FUER: AUSLAENDERFEINDL. WIRT
cs01,SCHON VERUEBT: SCHWARZFAHREN?
cs02,SCHON VERUEBT: ALKOHOL AM STEUER?
cs03,SCHON VERUEBT: LADENDIEBSTAHL?
cs04,SCHON VERUEBT: STEUERBETRUG?
cs05,SCHWARZFAHREN IN DER ZUKUNFT?
cs06,ALKOHOL AM STEUER IN DER ZUKUNFT?
cs08,LADENDIEBSTAHL IN DER ZUKUNFT?
cs09,STEUERBETRUG IN DER ZUKUNFT?
cp01,ENTDECKUNGSWAHRSCHEIN.: SCHWARZFAHREN
cp02,ENTDECKUNGSWAHRSCHEIN.:ALKOHOL AM STEUER
cp03,ENTDECKUNGSWAHRSCHEIN.:KAUFHAUSDIEBSTAHL
cp04,ENTDECKUNGSWAHRSCHEINLICHK.:STEUERBETRUG
ca21,WICHTIGKEIT: BESTRAFUNG EINES DIEBES
ca22,ZUSTIMMUNG: GESETZESTREUE
ca23,ABSCHRECKUNG DURCH HARTE STRAFEN?
ca32,ZWECK VON BESTRAFUNG: 1. NENNUNG
ca33,ZWECK VON BESTRAFUNG: 2. NENNUNG
ca24,MEINUNG: GERICHTSURTEILE ZU HART?
ca27,STRAFE FUER: GEWALT BEI WIDERSPRUCH
ca28,STRAFE FUER: KAUFHAUSDIEBSTAHL
ca29,STRAFE FUER: DIEBSTAHL IN WOHNUNG
sex,"GESCHLECHT, BEFRAGTE(R)"
yborn,GEBURTSJAHR: BEFRAGTE(R)
mborn,GEBURTSMONAT: BEFRAGTE(R)
age,ALTER: BEFRAGTE(R)
german,DEUTSCHE STAATSANGEHOERIGKEIT?
dn01,BEFR.: STAATSBUERGERSCHAFT 1
dn02,BEFR.: STAATSBUERGERSCHAFT 2
dn03,BEFR.: STAATSBUERGERSCHAFT 3
dn04,BEFR.: ZAHL DER STAATSBUERGERSCHAFTEN
de19,"GEGENWAERTIGER SCHULBESUCH, BEFRAGTE(R)"
de20,"GEGENWAERTIG BESUCHTE SCHULE, BEFR."
educ,ALLGEMEINER SCHULABSCHLUSS
educy,DAUER DER SCHULAUSBILDUNG IN JAHREN
de01,BEFR.: BERUFLICHER AUSBILDUNGSABSCHLUSS
de05,BEFR.: KEIN BERUFL. AUSBILDUNGSABSCHLUSS
de06,BEFR.: BERUFLICH-BETRIEBL. ANLERNZEIT
de07,BEFR.: TEILFACHARBEITERABSCHLUSS
de08,"BEFR.: GEWERBLICHE, LANDWIRTSCH. LEHRE"
de09,BEFR.: KAUFMAENNISCHE LEHRE
de10,"BEFR.: BERUFL. PRAKTIKUM, VOLONTARIAT"
de11,BEFR.: FACHSCHULABSCHLUSS
de12,BEFR.: BERUFSFACHSCHULABSCHLUSS
de13,"BEFR.: MEISTER, TECHNIKERABSCHLUSS"
de14,BEFR.: FACHHOCHSCHULABSCHLUSS
de15,BEFR.: HOCHSCHULABSCHLUSS
de16,BEFR.:ANDERER BERUFSAUSBILDUNGSABSCHLUSS
de17,BEFR.: ART DES FH-ABSCHLUSSES
de18,BEFR.: ART DES UNI-ABSCHLUSSES
iscd975,BEFR.: ISCED 1997 - 5 STUFEN
iscd11,BEFR.: ISCED 2011
work,BEFRAGTE(R) BERUFSTAETIG?
dw38,ERWERBSTAETIGKEIT NEBEN DEM HAUPTBERUF
dw01,BEFR.: JETZIGE BERUFLICHE STELLUNG
dw02,"BEFR.: JETZIGE BERUFL.STELLUNG,KENNZIFF."
dw03,BEFR.: STATUS DER NICHTERWERBSTAETIGKEIT
isco68,"BEFR.: JETZIGER BERUF, ISCO 1968"
dw04,BEFR.: JETZIGE BERUFSUNTERGRUPPE I68
dw05,BEFR.: JETZIGE BERUFSHAUPTGRUPPE I68
tps68,BEFR.: JETZIGES TREIMANPRESTIGE I68
mps68,BEFR.: JETZIGES MAGNITUDEPRESTIGE I68
isei68,BEFR.: ISEI NACH GANZEBOOM I68
gld68,"GOLDTHORPEKLASSEN,GEGENW.BERUF,BEFR. I68"
isco88,"BEFR.: JETZIGER BERUF, ISCO 1988"
siops88,"BEFR.: JETZIGER BERUF, SIOPS I88"
mps88,BEFR.: JETZIGES MAGNITUDEPRESTIGE I88
isei88,BEFR.: ISEI NACH GANZEBOOM I88
isco08,"BEFR.: JETZIGER BERUF, ISCO 2008"
siops08,"BEFR.: JETZIGER BERUF, SIOPS I08"
isei08,BEFR.: ISEI NACH GANZEBOOM I08
eseg,BEFR.: SOZIO-OEKONOMISCHE GRUPPE (ESEG)
dw16,"FURCHT: STELLUNGSVERLUST, ARBEITNEHMER"
dw17,"FURCHT: BETRIEBSVERLUST, SELBSTAENDIGE"
dw06,BEFRAGTE(R): JETZIGE BRANCHE
dw07,IM OEFFENTLICHEN DIENST TAETIG?
dw08,BEFRISTETES ARBEITSVERHAELTNIS?
dw09,"HAUPTBERUFL.ERWERBST.:ARBEITSWEG,MINUTEN"
dw10,"BERUFLICHE AUFSICHTSFUNKTION, BEFR.?"
dw11,ZAHL DER GGF. BEAUFSICHTIGTEN PERSONEN
dw12,BEFR.: BIS WANN BERUFSTAETIG GEWESEN?
dw12a,BEFR.: ALTER BEI AUFGABE DES BERUFS
dw12b,BEFR.: JAHRE SEIT AUFGABE DES BERUFS
dw01a,BEFR.: LETZTE BERUFLICHE STELLUNG
dw02a,"BEFR.: LETZTE BERUFL.STELL., KENNZIFFER"
isco68a,"BEFR.: LETZTER BERUF, ISCO 1968"
dw04a,BEFR.: LETZTE BERUFSUNTERGRUPPE I68
dw05a,BEFR.: LETZTE BERUFSHAUPTGRUPPE I68
tps68a,"BEFR.: TREIMANPRESTIGE, LETZT. BERUF I68"
mps68a,"BEFR.: MAGNITUDEPRES., LETZTER BERUF I68"
isei68a,"BEFR.: ISEI GANZEBOOM, LETZTER BERUF I68"
gld68a,"GOLDTHORPEKLASSEN,EHEMAL.BERUF,BEFR. I68"
isco88a,"BEFR.: LETZTER BERUF, ISCO 1988"
siops88a,"BEFR.: LETZTER BERUF, SIOPS I88"
mps88a,"BEFR.: MAGNITUDEPRES., LETZTER BERUF I88"
isei88a,"BEFR.: ISEI GANZEBOOM, LETZTER BERUF I88"
isco08a,"BEFR.: LETZTER BERUF, ISCO 2008"
siops08a,"BEFR.: LETZTER BERUF, SIOPS I08"
isei08a,"BEFR.: ISEI GANZEBOOM, LETZTER BERUF I08"
dw13,WANN ERSTMALS HAUPTBERUFL.TAETIG?
dw01b,"1.HAUPTBERUF, BERUFLICHE STELLUNG"
dw02b,"1.HAUPTBERUF, BERUFLICHE STELLUNG,KENNZ."
isco68b,"1.HAUPTBERUF, ISCO 1968"
dw04b,"1.HAUPTBERUF, BERUFSUNTERGRUPPE"
dw05b,"1.HAUPTBERUF, BERUFSHAUPTGRUPPE"
tps68b,"1.HAUPTBERUF, TREIMANPRESTIGE"
mps68b,"1.HAUPTBERUF, MAGNITUDEPRESTIGE I68"
gld68b,"GOLDTHORPEKLASSEN, 1. HAUPTBERUF, BEFR."
isco88b,"1.HAUPTBERUF, ISCO 1988"
siops88b,"1.HAUPTBERUF, SIOPS 1988"
isei88b,"ISEI GANZEBOOM, 1.HAUPTBERUF, 1988"
dw14,SEIT WANN I.D. GEGENWAERT. ARBEITSTELLE?
dw39,"ANZAHL,BESCHAEFTIGTE B.D. ARBEITSSTELLE"
dw15,BEFRAGTER: ARBEITSSTUNDEN PRO WOCHE
dw37,"BEFR.:NEBENERWERB, ARBEITSSTD. PRO WOCHE"
dw40,"ARBEITSSTUNDEN PRO WOCHE,ZWEITTAETIGKEIT"
dw18,BERUFST.: ARBEITSLOS I.D. LETZTEN 10 J.?
dw19,DAUER DER ARBEITSLOSIGKEIT IN WOCHEN
dw20,NICHTBERUFST.:JEMALS ARBEITSLOS GEWESEN?
dw22,ARBEITSLOS:FRUEHER SCHON MAL ARBEITSLOS?
dw23,DAUER (EHEMALIGER) ARBEITSLOSIGKEIT
dw24,BEFR.: BERUFSTAETIGKEIT UNTERBROCHEN
dw25,UNTERBR.BERUFSTAET.: ARBEITSLOSIGKEIT
dw26,UNTERBR.BERUFSTAET.: WEITERBILDUNG
dw27,"UNTERBR.BERUFSTAET.:KRIEG,GEFANGENSCHAFT"
dw28,"UNTERBR.BERUFSTAET.: WEHR-, ZIVILDIENST"
dw29,UNTERBR.BERUFSTAET.: HEIRAT
dw30,UNTERBR.BERUFSTAET.: SCHWANGERSCHAFT
dw31,UNTERBR.BERUFSTAET.: KINDERERZIEHUNG
dw32,UNTERBR.BERUFSTAET.: HAUSHALTSFUEHRUNG
dw33,UNTERBR.BERUFSTAET.: KRANKHEIT
dw34,UNTERBR.BERUFSTAET.: PRIVATE GRUENDE
dw35,UNTERBR.BERUFSTAET.: SONSTIGE GRUENDE
dw36,BEFR.: HEUTE WUNSCH NACH ARBEIT?
di01a,"BEFR.: NETTOEINKOMMEN, OFFENE ABFRAGE"
di02a,"BEFR.: NETTOEINKOMMEN, LISTENABFRAGE"
inc,BFR.:NETTOEINKOMMEN(OFFENE+LISTENANGABE)
incc,"NETTOEINKOMMEN(OFFENE+LISTENANGABE),KAT."
di03,BEFR.: VORWIEGENDER LEBENSUNTERHALT
di04,"KAPITALEINKOMMEN UEBER 10000 DM, BEFR."
di05,HAUSHALTSNETTOEINKOMMEN: OFFENE ABFRAGE
di06,HAUSHALTSNETTOEINKOMMEN: LISTENABFRAGE
hhinc,HAUSHALTSEINKOMMEN (OFFENE+LISTENANGABE)
hhincc,"HAUSHALTSEINK.(OFFENE+LISTENANGABE),KAT."
di07,PRO-KOPF-EINKOMMEN
di07c,"PRO-KOPF-EINKOMMEN, KATEGORISIERT"
di08,AEQUIVALENZEINKOMMEN OECD - NEU
di08c,"AEQUIVALENZEINKOMMEN OECD - NEU, KAT."
di09,MEINUNG ZU GESAMTEINKOMMEN DES HAUSHALTS
di10,"LOHN, GEHALT IM HAUSHALT?"
di11,SELBSTAENDIGENEINKOMMEN IM HAUSHALT?
di12,"LOHN, GEHALT, SELBSTAENDIGENEINK. IM HH?"
di13,"ZINS-, VERMOEGENSEINKUENFTE IM HAUSHALT?"
di14,WERTPAPIEREINKUENFTE IM HAUSHALT?
di15,"MIET-, UND PACHTEINKUENFTE IM HAUSHALT?"
di16,ANDERE VERMOEGENSEINKUENFTE IM HAUSHALT?
di17,KINDERGELDBEZUG IM HAUSHALT?
di18,WOHNGELDBEZUG IM HAUSHALT
di19,ARBEITSLOSENGELD O.AEHNLICH.IM HAUSHALT?
di20,"KRANKEN-, MUTTERSCHAFTSGELD IM HAUSHALT?"
di21,ELTERNGELD ODER AEHNLICHES IM HAUSHALT?
di22,BAFOEG IM HAUSHALT?
di23,"AND.AUSBILDUNGS-, UMSCHULUNGSGELD.IM HH?"
di24,ALG II/SOZIALHILFE IM HAUSHALT?
di25,PRIVATE UNTERHALTSZAHLUNGEN IM HAUSHALT?
di26,SONSTIGE SOZIALLEISTUNGEN IM HAUSHALT?
di27,RENTENBEZUG IM HAUSHALT?
di28,PENSIONSBEZUG IM HAUSHALT?
di29,SONSTIGE EINKUENFTE IM HAUSHALT?
di90,ANZAHL DER EINKOMMENSQUELLEN IM HAUSHALT
di91,HAUPTEINKOMMENSQUELLE IM HH.(ZUSAMMENG.)
mstat,"FAMILIENSTAND, BEFRAGTE(R)"
df01,BEFR.:M.EHEP. VOR HEIRAT ZUSAMMENGELEBT
df01a,"BEFR.: AB WANN ZUSAMMENGELEBT, JAHR"
df01b,"BEFR.: AB WANN ZUSAMMENGELEBT, MONAT"
scyborn,GEGENWAERTIGER EHEPARTNER: GEBURTSJAHR
scmborn,GEGENWAERTIGER EHEPARTNER: GEBURTSMONAT
scage,GEGENWAERTIGER EHEPARTNER: ALTER
scdn01,EHEP.: STAATSBUERGERSCHAFT 1
scdn02,EHEP.: STAATSBUERGERSCHAFT 2
scdn03,EHEP.: STAATSBUERGERSCHAFT 3
scdn04,EHEP.: ZAHL DER STAATSBUERGERSCHAFTEN
scdn05,EHEP.: VON GEBURT AN DEUTSCH?
scdn06,EHEP.: URSPRUENGL. STAATSBUERGERSCHAFT
scrd01,GEGENWAERTIGER EHEPARTNER: KONFESSION
sceduc,GEGENW.EHEP.: ALLGEMEIN.SCHULABSCHLUSS
scde01,GEGENW.EHEP.:BERUFL.AUSBILDUNGSABSCHLUSS
scde05,GEGENW.EHEP.: KEIN BERUFL.ABSCHLUSS
scde06,GEGENW.EHEP.: BERUFL.-BETR. ANLERNZEIT
scde07,GEGENW.EHEP.: TEILFACHARBEITERABSCHLUSS
scde08,"GEGENW.EHEP.: GEWERBL.-,LANDWIRT. LEHRE"
scde09,GEGENW.EHEP.: KAUFMAENNISCHE LEHRE
scde10,"GEGENW.EHEP.: BERUFL.PRAKTIKUM, VOLONT."
scde11,GEGENW.EHEP.: FACHSCHULABSCHLUSS
scde12,GEGENW.EHEP.: BERUFSFACHSCHULABSCHLUSS
scde13,"GEGENW.EHEP.: MEISTER-,TECHNIKERABSCHL."
scde14,GEGENW.EHEP.: FACHHOCHSCHULABSCHLUSS
scde15,GEGENW.EHEP.: HOCHSCHULABSCHLUSS
scde16,GEGENW.EHEP.: ANDERER BERUFL.ABSCHLUSS
scde17,GEGENW.EHEP.: ART DES FH-ABSCHLUSSES
scde18,GEGENW.EHEP.: ART DES UNI-ABSCHLUSSES
sciscd975,GEGENW.EHEP.: ISCED 1997 - 5 STUFEN
sciscd11,GEGENW.EHEP.: ISCED 2011
scwork,GEGENWAERTIGER EHEP. BERUFSTAETIG?
scdw01,GEGENW.EHEP.: JETZIGE BERUFL. STELLUNG
scdw02,"GEGENW.EHEP.: JETZIGE BERUFL.STELLUNG,KZ"
scdw03,EHEP.: STATUS DER NICHTERWERBSTAETIGKEIT
scisco68,"GEGENW.EHEP.: JETZIGER BERUF, ISCO 1968"
scdw04,GEGENW.EHEP.: JETZIGE BERUFSUNTERGR. I68
scdw05,GEGENW.EHEP.: JETZIGE BERUFSHAUPTGR. I68
sctps68,GEGENW.EHEP.:JETZIG.TREIMANPRESTIGE I68
scmps68,GEGENW.EHEP.: JETZIG. MAGNITUDEPREST.I68
scisei68,GEGENW.EHEP.: ISEI NACH GANZEBOOM I68
scgld68,"GOLDTHORPEKLASSEN, GEGENW.BERUF,EHEP.I68"
scisco88,"GEGENW.EHEP.: JETZIGER BERUF, ISCO 1988"
scsiop88,GEGENW.EHEP.: SIOPS I88
scmps88,GEGENW.EHEP.: JETZIG. MAGNITUDEPREST.I88
scisei88,GEGENW.EHEP.: ISEI NACH GANZEBOOM I88
scisco08,"GEGENW.EHEP.: JETZIGER BERUF, ISCO 2008"
scsiop08,GEGENW.EHEP.: SIOPS I08
scisei08,GEGENW.EHEP.: ISEI NACH GANZEBOOM I08
sceseg,GEGENW.EHEP.: SOZIO-OEKON.GRUPPE (ESEG)
scdw07,EHEP.: IM OEFFENTLICHEN DIENST TAETIG?
scdw12a,GEGENW.EHEP.: BERUFSTAETIG BIS? 1
scdw12b,GEGENW.EHEP.: BERUFSTAETIG BIS? 2
scdw18,"WAR GEGENW.,BERUFSTAET.EHEP.ARBEITSLOS?"
scdw19,"DAUER D.EHEMALIGEN ARBEITSLOSIGK., EHEP."
scdw16,"FURCHT: STELLUNGSVERLUST, GEGENW.EHEP."
scdw17,"FURCHT VOR BETRIEBSVERLUST, GEGENW.EHEP."
scdw01a,GEGENW.EHEP.: LETZTE BERUFL. STELLUNG
scdw02a,"GEGENW.EHEP.: LETZTE BERUFL.STELLUNG,KZ."
scisc68a,"GEGENW.EHEP.: LETZTER BERUF, ISCO 1968"
scdw04a,GEGENW.EHEP.: LETZTE BERUFSUNTERGRUPPE
scdw05a,GEGENW.EHEP.: LETZTE BERUFSHAUPTGRUPPE
sctps68a,GEGENW.EHEP.: LETZTES TREIMANPRESTIGE
scmps68a,GEGENW.EHEP.: L. MAGNITUDEPRESTIGE I68
scgld68a,"GEGENW.EHEP.:LETZTER BERUF,GOLDTHORPEKL."
sfyborn,EHEMALIGER EHEPARTNER: GEBURTSJAHR
sfmborn,EHEMALIGER EHEPARTNER: GEBURTSMONAT
sfage,EHEMALIGER EHEPARTNER: ALTER
sfrd01,EHEMALIGER EHEPARTNER: KONFESSION
sfeduc,EHEM.EHEP.: ALLGEMEIN. SCHULABSCHLUSS
sfde01,EHEM.EHEP.: BERUFL. AUSBILDUNGSABSCHLUSS
sfde05,EHEM.EHEP.: KEINEN BERUFL. ABSCHLUSS
sfde06,"EHEM.EHEP.: BERUFL.-, BETR. ANLERNZEIT"
sfde08,"EHEM.EHEP.: GEWERB.-, LANDWIRTSCH. LEHRE"
sfde09,EHEM.EHEP.: KAUFMAENNISCHE LEHRE
sfde10,"EHEM.EHEP.: BERUFL. PRAKTIKUM, VOLONTAR."
sfde12,EHEM.EHEP.: BERUFSFACHSCHULABSCHLUSS
sfde13,"EHEM.EHEP.: MEISTER-, TECHNIKERABSCHLUSS"
sfde14,EHEM.EHEP.: FACHHOCHSCHULABSCHLUSS
sfde15,EHEM.EHEP.: HOCHSCHULABSCHLUSS
sfde16,EHEM.EHEP.: ANDERER BERUFL. ABSCHLUSS
sfiscd975,EHEM.EHEP.: ISCED 1997 - 5 STUFEN
sfdw01,EHEM.EHEP.: BERUFLICHE STELLUNG
sfdw02,"EHEM.EHEP.: BERUFL. STELLUNG,KENNZIFFER"
sfisco68,"EHEM.EHEP.: BERUF, ISCO 1968"
sfdw04,EHEM.EHEP.: BERUFSUNTERGRUPPE
sfdw05,EHEM.EHEP.: BERUFSHAUPTGRUPPE
sftps68,EHEM.EHEP.: TREIMANPRESTIGE
sfmps68,EHEM.EHEP.: MAGNITUDEPRESTIGE I68
sfgld68,"EHEM.EHEP.: BERUF, GOLDTHORPEKLASSEN"
df35,BEFR.: ANZAHL EHEN
df04,EHE 1: MONAT HEIRAT
df05,EHE 1: JAHR HEIRAT
df06,EHE 1: MONAT ENDE
df07,EHE 1: JAHR ENDE
df31,EHE 1: STATUS
df10,EHE 2: MONAT HEIRAT
df11,EHE 2: JAHR HEIRAT
df12,EHE 2: MONAT ENDE
df13,EHE 2: JAHR ENDE
df32,EHE 2: STATUS
df16,EHE 3: MONAT HEIRAT
df17,EHE 3: JAHR HEIRAT
df18,EHE 3: MONAT ENDE
df19,EHE 3: JAHR ENDE
df33,EHE 3: STATUS
df22,EHE 4: MONAT HEIRAT
df23,EHE 4: JAHR HEIRAT
df24,EHE 4: MONAT ENDE
df25,EHE 4: JAHR ENDE
df34,EHE 4: STATUS
dp01,HABEN SIE EINEN FESTEN LEBENSPARTNER?
dp02,LEBENSPARTNER: DAUER DES ZUSAMMENSEINS
dp03,LEBENSPARTNER: GEMEINSAMER HAUSHALT?
dp04a,"LEBENSP.: SEIT WANN GEM. HAUSHALT, JAHR"
dp04b,"LEBENSP.: SEIT WANN GEM. HAUSHALT, MONAT"
pyborn,LEBENSPARTNER: GEBURTSJAHR
pmborn,LEBENSPARTNER: GEBURTSMONAT
page,LEBENSPARTNER: ALTER
pdn01,LEBENSP.: STAATSBUERGERSCHAFT 1
pdn02,LEBENSP.: STAATSBUERGERSCHAFT 2
pdn03,LEBENSP.: STAATSBUERGERSCHAFT 3
pdn04,LEBENSP.: ZAHL DER STAATSBUERGERSCHAFTEN
pdn05,LEBENSPARTNER: VON GEBURT AN DEUTSCH?
pdn06,LEBENSP.:URSPRUENGL.STAATSBUERGERSCHAFT
peduc,LEBENSPARTNER: ALLG.SCHULABSCHLUSS
pde01,LEBENSP.: BERUFLICH.AUSBILDUNGSABSCHLUSS
pde05,LEBENSPARTNER: KEINEN BERUFL. ABSCHLUSS
pde06,LEBENSPARTNER: BERUFL.-BETR. ANLERNZEIT
pde07,LEBENSPARTNER: TEILFACHARBEITERABSCHLUSS
pde08,"LEBENSPARTNER: GEWERB.-,LANDWIRT. LEHRE"
pde09,LEBENSPARTNER: KAUFMAENNISCHE LEHRE
pde10,"LEBENSPARTNER: BERUFL.PRAKTIKUM, VOLONT."
pde11,LEBENSPARTNER: FACHSCHULABSCHLUSS
pde12,LEBENSPARTNER: BERUFSFACHSCHULABSCHLUSS
pde13,"LEBENSPARTNER: MEISTER-,TECHNIKERABSCHL."
pde14,LEBENSPARTNER: FACHHOCHSCHULABSCHLUSS
pde15,LEBENSPARTNER: HOCHSCHULABSCHLUSS
pde16,LEBENSPARTNER: ANDERER BERUFL.ABSCHLUSS
pde17,LEBENSPARTNER: ART DES FH-ABSCHLUSSES
pde18,LEBENSPARTNER: ART DES UNI-ABSCHLUSSES
piscd975,LEBENSPARTNER: ISCED 1997 - 5 STUFEN
piscd11,LEBENSPARTNER: ISCED 2011
pwork,LEBENSPARTNER: BERUFSTAETIG?
pdw01,LEBENSPARTNER: JETZIGE BERUFL.STELLUNG
pdw02,LEBENSP.:JETZIGE BERUFL.STELL.KENNZIFFER
pdw03,LEBENSP: STATUS D.NICHTERWERBSTAETIGKEIT
pisco68,"LEBENSPARTNER: JETZIGER BERUF, ISCO 1968"
pdw04,LEBENSP.: JETZIGE BERUFSUNTERGRUPPE I68
pdw05,LEBENSP.: JETZIGE BERUFSHAUPTGRUPPE I68
ptps68,LEBENSP.: JETZIGES TREIMANPRESTIGE I68
pmps68,LEBENSP.: JETZIGES MAGNITUDEPRESTIGE I68
pisei68,LEBENSPARTNER: ISEI NACH GANZEBOOM I68
pgld68,"GOLDTHORPEKL., GEGENW.BERUF, PARTNER I68"
pisco88,"LEBENSPARTNER: JETZIGER BERUF, ISCO 1988"
psiops88,LEBENSPARTNER: SIOPS I88
pmps88,LEBENSP.: JETZIGES MAGNITUDEPRESTIGE I88
pisei88,LEBENSPARTNER: ISEI NACH GANZEBOOM I88
pisco08,"LEBENSPARTNER: JETZIGER BERUF, ISCO 2008"
psiops08,LEBENSPARTNER: SIOPS I08
pisei08,LEBENSPARTNER: ISEI NACH GANZEBOOM I08
peseg,LEBENSPARTNER: SOZIO-OEKON.GRUPPE (ESEG)
pdw07,LEBENSP: IM OEFFENTLICHEN DIENST TAETIG?
pdw16,"FURCHT: STELLUNGSVERLUST, LEBENSPARTNER"
pdw17,"FURCHT VOR BETRIEBSVERLUST, LEBENSP."
pdw12,LEBENSPARTNER: BERUFSTAETIG BIS?
pdw01a,LEBENSPARTNER: LETZTE BERUFL. STELLUNG
pdw02a,LEBENSPARTNER:LETZTE BERUFL.STELL.KENNZ.
pisco68a,"LEBENSPARTNER: LETZTER BERUF, ISCO 1968"
pdw04a,LEBENSPARTNER: LETZTE BERUFSUNTERGRUPPE
pdw05a,LEBENSPARTNER: LETZTE BERUFSHAUPTGRUPPE
ptps68a,LEBENSPARTNER: LETZTES TREIMANPRESTIGE
pmps68a,LEBENSPARTNER: L. MAGNITUDEPRESTIGE I68
pgld68a,"GOLDTHORPEKLASSEN,LETZTER BERUF,LEBENSP."
df44,BEFR.: MIT 15 BEI DEN ELTERN GELEBT?
dg12,ALTER BEIM VERLASSEN DER ELTERN
frd01,"KONFESSION, VATER"
feduc,VATER: ALLGEMEINER SCHULABSCHLUSS
fde01,VATER: BERUFLICHER AUSBILDUNGSABSCHLUSS
fde05,VATER: KEINEN BERUFSAUSBILDUNGSABSCHLUSS
fde06,VATER: BERUFLICH-BETRIEBL. ANLERNZEIT
fde07,VATER: TEILFACHARBEITERABSCHLUSS
fde08,"VATER: GEWERBLICHE, LANDWIRTSCH. LEHRE"
fde09,VATER: KAUFMAENNISCHE LEHRE
fde10,"VATER: BERUFL. PRAKTIKUM, VOLONTARIAT"
fde11,VATER: FACHSCHULABSCHLUSS
fde12,VATER: BERUFSFACHSCHULABSCHLUSS
fde13,"VATER: MEISTER-, TECHNIKERABSCHLUSS"
fde14,VATER: FACHHOCHSCHULABSCHLUSS
fde15,VATER: HOCHSCHULABSCHLUSS
fde16,VATER:ANDERER BERUFSAUSBILDUNGSABSCHLUSS
fde21,VATER: UNIVERSITAETSBESUCH?
fiscd975,VATER: ISCED 1997 - 5 STUFEN
fdw01,VATER: BERUFLICHE STELLUNG
fdw02,"VATER: BERUFLICHE STELLUNG, KENNZIFFER"
fisco68,"VATER: BERUF, ISCO 1968"
fdw04,VATER: BERUFSUNTERGRUPPE I68
fdw05,VATER: BERUFSHAUPTGRUPPE I68
ftps68,VATER: TREIMANPRESTIGE I68
fmps68,VATER: MAGNITUDEPRESTIGE I68
fisei68,VATER: ISEI NACH GANZEBOOM I68
fgld68,VATER: GOLDTHORPEKLASSEN I68
fisco88,"VATER: BERUF, ISCO 1988"
fsiops88,VATER: SIOPS I88
fmps88,VATER: MAGNITUDEPRESTIGE I88
fisei88,VATER: ISEI NACH GANZEBOOM I88
fisco08,"VATER: BERUF, ISCO 2008"
fsiops08,VATER: SIOPS I08
fisei08,VATER: ISEI NACH GANZEBOOM I08
feseg,VATER: SOZIO-OEKONOMISCHE GRUPPE (ESEG)
mrd01,"KONFESSION, MUTTER"
meduc,MUTTER: ALLGEMEINER SCHULABSCHLUSS
mde01,MUTTER: BERUFLICHER AUSBILDUNGSABSCHLUSS
mde05,MUTTER: KEIN BERUFSAUSBILDUNGSABSCHLUSS
mde06,MUTTER: BERUFLICH-BETRIEBL. ANLERNZEIT
mde07,MUTTER: TEILFACHARBEITERABSCHLUSS
mde08,"MUTTER: GEWERBLICHE, LANDWIRTSCH. LEHRE"
mde09,MUTTER: KAUFMAENNISCHE LEHRE
mde10,"MUTTER: BERUFL. PRAKTIKUM, VOLONTARIAT"
mde11,MUTTER: FACHSCHULABSCHLUSS
mde12,MUTTER: BERUFSFACHSCHULABSCHLUSS
mde13,"MUTTER: MEISTER-, TECHNIKERABSCHLUSS"
mde14,MUTTER: FACHHOCHSCHULABSCHLUSS
mde15,MUTTER: HOCHSCHULABSCHLUSS
mde16,MUTTER: AND. BERUFSAUSBILDUNGSABSCHLUSS
mde21,MUTTER: UNIVERSITAETSBESUCH?
miscd975,MUTTER: ISCED 1997 - 5 STUFEN
mdw01,MUTTER: BERUFLICHE STELLUNG
mdw02,"MUTTER: BERUFLICHE STELLUNG, KENNZIFFER"
misco68,"MUTTER: BERUF DAMALS, ISCO 1968"
mdw04,MUTTER: DAMALIGE BERUFSUNTERGRUPPE I68
mdw05,MUTTER: DAMALIGE BERUFSHAUPTGRUPPE I68
mtps68,MUTTER: TREIMANPRESTIGE I68
mmps68,MUTTER: MAGNITUDEPRESTIGE I68
misei68,MUTTER: ISEI NACH GANZEBOOM I68
mgld68,MUTTER: GOLDTHORPEKLASSEN I68
misco88,"MUTTER: BERUF DAMALS, ISCO 1988"
msiops88,MUTTER: SIOPS I88
mmps88,MUTTER: MAGNITUDEPRESTIGE I88
misei88,MUTTER: ISEI NACH GANZEBOOM I88
misco08,"MUTTER: BERUF DAMALS, ISCO 2008"
msiops08,MUTTER: SIOPS I08
misei08,MUTTER: ISEI NACH GANZEBOOM I08
meseg,MUTTER: SOZIO-OEKONOMISCHE GRUPPE (ESEG)
dh04,ANZAHL DER HAUSHALTSPERSONEN
dh09,REDUZIERTE HAUSHALTSGROESSE
hh2kin,2.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.
