Section_Class,ID,Description,Heads_of_Families,Wives,Children_under_15,Young_Persons_15_to_20,Unmarried_Men_and_Widowers,Total_Persons,A,B,C,D,E,F,G,H,Total_Classes,District,poverty_rate,kids_per_household,unmarried_ratio
Labour,3,Irregular labour,498.0,498.0,1087.0,255.0,217.0,2555.0,0.0,942.0,1536.0,0.0,77.0,0.0,0.0,0.0,2555.0,Hackney,0.9698630136986301,2.182730923694779,0.08493150684931507
Labour,4,"Regular work, low pay",1002.0,1002.0,2128.0,501.0,435.0,5068.0,0.0,440.0,0.0,4569.0,59.0,0.0,0.0,0.0,5068.0,Hackney,0.9883583267561168,2.12375249500998,0.08583267561168113
Labour,5,"Regular work, ordinary pay",1629.0,1629.0,3248.0,764.0,706.0,7976.0,0.0,8.0,0.0,753.0,7100.0,115.0,0.0,0.0,7976.0,Hackney,0.09541123370110331,1.9938612645794966,0.08851554663991976
Labour,6,Foremen and responsible work,311.0,311.0,654.0,153.0,135.0,1564.0,0.0,0.0,0.0,0.0,18.0,1546.0,0.0,0.0,1564.0,Hackney,0.0,2.102893890675241,0.08631713554987212
Artisans,7,Building trades,2593.0,2593.0,5598.0,1318.0,1124.0,13226.0,43.0,1613.0,2065.0,700.0,6570.0,2235.0,0.0,0.0,13226.0,Hackney,0.33426584001209736,2.158889317392981,0.0849841221835778
Artisans,8,"Furniture, woodwork, &c.",1517.0,1517.0,3225.0,759.0,658.0,7676.0,8.0,874.0,890.0,668.0,4278.0,958.0,0.0,0.0,7676.0,Hackney,0.31787389265242316,2.125906394199077,0.08572173006774361
Artisans,9,Machinery and metals,620.0,620.0,1448.0,340.0,268.0,3296.0,18.0,240.0,107.0,205.0,1826.0,900.0,0.0,0.0,3296.0,Hackney,0.1729368932038835,2.335483870967742,0.08131067961165049
Artisans,10-A,Printing,773.0,773.0,1598.0,374.0,335.0,3853.0,0.0,50.0,209.0,84.0,1596.0,1914.0,0.0,0.0,3853.0,Hackney,0.08902154165585258,2.0672703751617076,0.08694523747729042
Artisans,10-B,"Watches, instruments, &c.",431.0,431.0,922.0,215.0,186.0,2185.0,9.0,136.0,43.0,154.0,802.0,1041.0,0.0,0.0,2185.0,Hackney,0.1565217391304348,2.1392111368909514,0.08512585812356979
Artisans,10-C,Furs and leather,296.0,296.0,662.0,155.0,128.0,1537.0,0.0,182.0,148.0,182.0,825.0,200.0,0.0,0.0,1537.0,Hackney,0.33311646063760575,2.2364864864864864,0.08327911515940144
