Section_Class,ID,Description,Heads_of_Families,Wives,Children_under_15,Young_Persons_15_to_20,Unmarried_Men_and_Widowers,Total_Persons,A,B,C,D,E,F,G,H,Total_Classes,District
Females,37,Supported,213.0,0.0,329.0,74.0,0.0,616.0,0.0,75.0,10.0,38.0,493.0,0.0,0.0,0.0,616.0,Poplar
Females,38,Independent,164.0,0.0,191.0,43.0,0.0,398.0,0.0,0.0,0.0,15.0,160.0,50.0,173.0,0.0,398.0,Poplar
Females,39,Other adult women,0.0,0.0,0.0,0.0,0.0,9784.0,103.0,1261.0,615.0,1604.0,4412.0,1310.0,305.0,174.0,9784.0,Poplar
Labour,1,Loafers and criminals,390.0,390.0,69.0,200.0,136.0,1185.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185.0,Bethal_Green
0,2,Casual day-to-day-labour,1191.0,1191.0,2476.0,580.0,422.0,5860.0,0.0,5680.0,180.0,0.0,0.0,0.0,0.0,0.0,5860.0,Bethal_Green
0,3,Irregular Labour,562.0,562.0,1171.0,274.0,196.0,2765.0,0.0,638.0,2050.0,0.0,77.0,0.0,0.0,0.0,2765.0,Bethal_Green
0,4,"Regular work, low pay",1048.0,1048.0,2011.0,470.0,365.0,4942.0,0.0,223.0,0.0,4686.0,33.0,0.0,0.0,0.0,4942.0,Bethal_Green
0,5,"Regular work, ordinary pay",1928.0,1928.0,3757.0,878.0,671.0,9162.0,0.0,8.0,0.0,880.0,8199.0,75.0,0.0,0.0,9162.0,Bethal_Green
0,6,Foremen and responsible work,207.0,207.0,451.0,105.0,72.0,1042.0,0.0,0.0,0.0,0.0,44.0,998.0,0.0,0.0,1042.0,Bethal_Green
Artisans,7,Building trades,1148.0,1148.0,2376.0,557.0,400.0,5629.0,8.0,592.0,1204.0,480.0,2873.0,472.0,0.0,0.0,5629.0,Bethal_Green
0,8,"Furniture, woodwork",3696.0,3696.0,8025.0,1879.0,1302.0,18598.0,17.0,2950.0,3100.0,3170.0,8600.0,761.0,0.0,0.0,18598.0,Bethal_Green
0,9,Machinery and metals,738.0,738.0,1575.0,370.0,257.0,3678.0,9.0,253.0,570.0,280.0,1974.0,592.0,0.0,0.0,3678.0,Bethal_Green
0,10a,Printing,592.0,592.0,1214.0,285.0,207.0,2890.0,0.0,86.0,240.0,146.0,1878.0,540.0,0.0,0.0,2890.0,Bethal_Green
0,10b,"Watches, instruments",134.0,134.0,284.0,66.0,47.0,665.0,0.0,61.0,95.0,43.0,310.0,156.0,0.0,0.0,665.0,Bethal_Green
0,10c,Furs and leather,301.0,301.0,610.0,142.0,105.0,1459.0,0.0,136.0,263.0,170.0,771.0,119.0,0.0,0.0,1459.0,Bethal_Green
0,10d,Silk weaving,284.0,284.0,515.0,120.0,99.0,1302.0,0.0,160.0,379.0,112.0,523.0,128.0,0.0,0.0,1302.0,Bethal_Green
0,10e,Sundry artisans,776.0,776.0,1585.0,370.0,271.0,3778.0,18.0,742.0,460.0,708.0,1714.0,136.0,0.0,0.0,3778.0,Bethal_Green
0,11,Dress,2551.0,2551.0,5374.0,1258.0,887.0,12621.0,9.0,2010.0,2340.0,2360.0,5494.0,408.0,0.0,0.0,12621.0,Bethal_Green
0,12,Food preparation,528.0,528.0,1104.0,259.0,184.0,2603.0,9.0,180.0,283.0,508.0,1519.0,104.0,0.0,0.0,2603.0,Bethal_Green
Locomotion,13,Railway servants,254.0,254.0,550.0,128.0,89.0,1275.0,0.0,26.0,9.0,176.0,834.0,230.0,0.0,0.0,1275.0,Bethal_Green
0,14,Road Service,197.0,197.0,379.0,89.0,69.0,931.0,0.0,74.0,82.0,141.0,568.0,66.0,0.0,0.0,931.0,Bethal_Green
Assistants,15,Shops,663.0,663.0,1356.0,317.0,231.0,3230.0,0.0,196.0,94.0,718.0,1897.0,325.0,0.0,0.0,3230.0,Bethal_Green
0,16,"Police, soldiers, and sub-officials",301.0,301.0,601.0,140.0,105.0,1448.0,0.0,0.0,0.0,51.0,1160.0,237.0,0.0,0.0,1448.0,Bethal_Green
Other wages,17,Seamen,35.0,35.0,59.0,14.0,12.0,155.0,0.0,8.0,16.0,54.0,77.0,0.0,0.0,0.0,155.0,Bethal_Green
0,18,Other wage earners,568.0,568.0,902.0,210.0,198.0,2446.0,0.0,91.0,196.0,295.0,1451.0,413.0,0.0,0.0,2446.0,Bethal_Green
Manufacturers,19,Home industries (not employing),981.0,981.0,2172.0,507.0,341.0,4982.0,9.0,660.0,851.0,393.0,2000.0,1060.0,9.0,0.0,4982.0,Bethal_Green
0,20,Small employers,759.0,759.0,1786.0,418.0,266.0,3988.0,0.0,27.0,9.0,64.0,366.0,2343.0,1170.0,9.0,3988.0,Bethal_Green
0,21,Large employers,75.0,75.0,215.0,50.0,26.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,133.0,441.0,Bethal_Green
Dealers,22,Street sellers,831.0,831.0,1749.0,408.0,290.0,4109.0,69.0,1638.0,1175.0,501.0,683.0,43.0,0.0,0.0,4109.0,Bethal_Green
0,23,General dealers,226.0,226.0,459.0,107.0,79.0,1097.0,8.0,59.0,162.0,162.0,467.0,222.0,17.0,0.0,1097.0,Bethal_Green
0,24,Small shops,737.0,737.0,1488.0,348.0,257.0,3567.0,0.0,51.0,93.0,322.0,1825.0,1183.0,93.0,0.0,3567.0,Bethal_Green
0,25,Large shops (employing assistants),512.0,512.0,1158.0,270.0,176.0,2628.0,0.0,0.0,0.0,0.0,36.0,755.0,1067.0,770.0,2628.0,Bethal_Green
Refreshment,26,Coffee and boarding houses,77.0,77.0,154.0,35.0,27.0,370.0,0.0,0.0,0.0,33.0,84.0,169.0,84.0,0.0,370.0,Bethal_Green
0,27,Licensed houses,187.0,187.0,391.0,91.0,65.0,921.0,0.0,0.0,17.0,34.0,188.0,230.0,341.0,111.0,921.0,Bethal_Green
Salaried,28,Clerks and Agents,489.0,489.0,953.0,224.0,170.0,2325.0,0.0,0.0,17.0,117.0,830.0,1270.0,91.0,0.0,2325.0,Bethal_Green
0,29,Subordinate professional,112.0,112.0,225.0,52.0,39.0,540.0,0.0,0.0,8.0,17.0,79.0,274.0,162.0,0.0,540.0,Bethal_Green
0,30,Professional,117.0,117.0,229.0,53.0,41.0,557.0,0.0,0.0,0.0,0.0,0.0,33.0,50.0,474.0,557.0,Bethal_Green
No work,31,Ill and no occupation,74.0,74.0,153.0,35.0,25.0,361.0,0.0,284.0,26.0,17.0,26.0,8.0,0.0,0.0,361.0,Bethal_Green
0,32,Independent,21.0,21.0,24.0,6.0,7.0,79.0,0.0,0.0,0.0,0.0,46.0,7.0,26.0,0.0,79.0,Bethal_Green
